"SITE_ID","VISIT_NO","SAMPLE_ID","H2O_dD","H2O_d18O","d.excess"
"NRS18_SC_10008","2",890840,-26.84,-4.77,11.36
"NRS18_SC_10009","1",123480,-40.58,-7.12,16.34
"NRS18_SC_10010","1",898160,-13.62,-2.42,5.76
"NRS18_SC_10011","1",885800,-24.28,-5.01,15.84
"NRS18_SC_10012","1",101840,-23.93,-4.18,9.52
"NRS18_SC_10017","1",123400,-22.65,-3.82,7.93
"NRS18_SC_10019","1",123520,-24.99,-4.68,12.48
"NRS18_SC_10020","1",885940,-21.66,-4,10.33
"NRS18_SC_10034","1",123320,-17.55,-3.25,8.47
"NRS18_SC_10180","1",101820,-19.19,-3.88,11.83
"NRS18_SC_10332","1",123340,-13.39,-2.53,6.84
"NRS18_SC_10479","1",890900,-28.22,-5.38,14.84
"NRS18_SC_10779","1",123460,-29.77,-5.02,10.35
"NRS18_SC_10781","1",104860,-22.23,-3.68,7.23
"NRS18_SC_RF001","1",885820,-30.26,-5.49,13.64
"NRS18_SC_RF002","1",122980,-26.51,-4.57,10.09
"NRS18_SC_RF003","1",123080,-22.56,-4.09,10.14
"NRS18_SD_10001","1",135720,-55.32,-8.4,11.9
"NRS18_SD_10001","2",135800,-54.18,-8.73,15.68
"NRS18_SD_10002","1",135780,-107.34,-13.78,2.91
"NRS18_SD_10002","2",135700,-105.54,-13.41,1.74
"NRS18_SD_10003","1",100140,-60.16,-8.03,4.08
"NRS18_SD_10004","1",107240,-92.05,-12.21,5.59
"NRS18_SD_10005","1",119320,-59.54,-8.2,6.07
"NRS18_SD_10006","R",887480,-32.55,-4.36,2.35
"NRS18_SD_10006","1",884780,-55.24,-8.44,12.25
"NRS18_SD_10009","1",885840,-99.21,-11.87,-4.22
"NRS18_SD_10010","1",101400,-38.38,-2.81,-15.89
"NRS18_SD_10011","1",119460,-56.99,-7.12,-0.07
"NRS18_SD_10012","1",105960,-84.95,-10.33,-2.33
"NRS18_SD_10013","1",134760,-68.1,-8.75,1.93
"NRS18_SD_10013","2",135660,-75.97,-9.98,3.86
"NRS18_SD_10014","1",108580,-72.53,-7.11,-15.68
"NRS18_SD_10014","2",108560,-74.52,-9.53,1.71
"NRS18_SD_10015","1",101380,-48.26,-5.44,-4.73
"NRS18_SD_10016","1",896360,-94.95,-13.02,9.24
"NRS18_SD_10018","1",883420,-65.89,-9.28,8.31
"NRS18_SD_10019","1",104760,-108.15,-13.35,-1.35
"NRS18_SD_10020","1",134160,-96.48,-11.49,-4.58
"NRS18_SD_10021","1",108440,-49.33,-6.51,2.74
"NRS18_SD_10022","1",120260,-91.68,-10.5,-7.71
"NRS18_SD_10023","1",101420,-40.37,-3.32,-13.83
"NRS18_SD_10024","1",883380,-42.57,-4.41,-7.31
"NRS18_SD_10025","1",136180,-52.46,-7.31,6.06
"NRS18_SD_10026","1",101440,-96.51,-11.31,-6.05
"NRS18_SD_10029","1",883480,-64.97,-8.89,6.14
"NRS18_SD_10031","1",100040,-60.86,-7.98,3.01
"NRS18_SD_10034","1",104780,-52.02,-6.6,0.78
"NRS18_SD_10035","1",105940,-104.2,-13.39,2.96
"NRS18_SD_10037","1",883460,-93.22,-10.05,-12.78
"NRS18_SD_10038","1",883500,-44.16,-5.01,-4.07
"NRS18_SD_10039","1",883440,-110.11,-13.22,-4.32
"NRS18_SD_10040","1",133980,-98.46,-12.13,-1.43
"NRS18_SD_10041","1",107280,-62.02,-5.71,-16.36
"NRS18_SD_10042","1",136220,-62.86,-8.37,4.09
"NRS18_SD_10045","1",107260,-53.82,-7.1,2.94
"NRS18_SD_10046","1",119340,-128.41,-16.36,2.5
"NRS18_SD_10048","1",119420,-69.32,-8.85,1.45
"NRS18_SD_10053","1",898600,-55.93,-3.52,-27.8
"NRS18_SD_10055","1",136200,-71.38,-9.1,1.41
"NRS18_SD_10057","1",898660,-65.91,-5.67,-20.53
"NRS18_SD_10058","1",104740,-81.3,-10,-1.28
"NRS18_SD_10060","1",108480,-55.14,-6.48,-3.29
"NRS18_SD_10061","1",108460,-101.95,-13.13,3.06
"NRS18_SD_10065","1",135820,-77.46,-9.76,0.61
"NRS18_SD_10071","1",119400,-114.38,-15.02,5.77
"NRS18_SD_10094","1",123920,-84.11,-9.26,-10.02
"NRS18_SD_10244","1",119440,-86.59,-11.89,8.52
"NRS18_SD_10544","1",100180,-106.74,-14.27,7.44
"NRS18_SD_10694","1",123900,-81.26,-10.32,1.33
"NRS18_SD_10959","1",132040,-99.5,-13.19,6.03
"NRS18_SD_11294","1",132100,-115.76,-14.9,3.45
"NRS18_SD_11446","1",135560,-67.04,-8.47,0.75
"NRS18_SD_11594","1",135740,-65.21,-9,6.81
"NRS18_SD_11894","1",136240,-48.74,-6.72,5
"NRS18_SD_11899","1",119380,-38.95,-5.65,6.24
"NRS18_SD_11901","1",118360,-52.52,-7.67,8.82
"NRS18_SD_11908","1",136260,-80.46,-10.6,4.3
"NRS18_SD_11910","1",135600,-47.71,-6.81,6.78
"NRS18_SD_12194","1",135580,-45.21,-6.05,3.19
"NRS18_TN_10001","1",884020,-34.82,-6.42,16.56
"NRS18_TN_10001","2",107660,-32.03,-5.59,12.7
"NRS18_TN_10002","1",883940,-37.35,-6.42,14.05
"NRS18_TN_10002","2",107620,-36.58,-5.95,10.98
"NRS18_TN_10004","1",884000,-33.88,-6.25,16.1
"NRS18_TN_10005","1",897660,-27.68,-5.28,14.59
"NRS18_TN_10006","1",883920,-34.03,-6.03,14.22
"NRS18_TN_10007","1",897520,-23.41,-4.19,10.11
"NRS18_TN_10008","1",107340,-35.43,-6.23,14.39
"NRS18_TN_10009","1",883960,-42.36,-7.05,14.02
"NRS18_TN_10009","2",107640,-41.4,-6.78,12.86
"NRS18_TN_10010","1",883900,-35.31,-6.42,16.09
"NRS18_TN_10010","2",107600,-33.65,-5.52,10.49
"NRS18_TN_10011","1",897460,1.87,-1.18,11.27
"NRS18_TN_10015","1",124440,-32.94,-6.08,15.74
"NRS18_TN_10016","1",990300,-23.55,-4.24,10.34
"NRS18_TN_10019","1",107380,-40.43,-6.23,9.44
"NRS18_TN_10022","1",125520,-44.2,-7.37,14.79
"NRS18_TN_10023","1",115320,-30.48,-5.66,14.78
"NRS18_TN_10024","1",886620,-33.65,-6.72,20.12
"NRS18_TN_10026","1",884040,-34.27,-5.94,13.27
"NRS18_TN_10029","1",100020,-36.42,-6.03,11.84
"NRS18_TN_10033","1",125540,-46.65,-7.88,16.41
"NRS18_TN_10040","1",124540,-37.29,-5.94,10.23
"NRS18_TN_10339","1",124400,-36.65,-5.68,8.81
"NRS18_TN_10340","1",124420,-31.53,-5.77,14.66
"NRS18_TN_10489","1",125700,-34.75,-6.09,13.95
"NRS18_TN_10490","1",125640,-28.06,-5.39,15.08
"NRS18_TN_11089","1",107320,-32.9,-5.73,12.97
"NRS18_TN_11090","1",107360,-36.34,-5.53,7.93
"NRS18_TN_RF001","1",123160,-41,-6.88,14.02
"NRS18_TN_RF002","1",123100,-32.72,-5.92,14.61
"NRS18_TX_10001","1",122660,-12.77,-2.38,6.3
"NRS18_TX_10002","1",107440,-3.36,-1.02,4.81
"NRS18_TX_10003","1",104900,-0.99,0.1,-1.79
"NRS18_TX_10004","1",884420,-7.93,-1.16,1.38
"NRS18_TX_10005","1",100260,-6.22,-0.99,1.69
"NRS18_TX_10006","1",103860,-0.59,0.09,-1.32
"NRS18_TX_10007","1",107500,-30.69,-4.2,2.91
"NRS18_TX_10009","1",884460,-16.75,-2.97,6.98
"NRS18_TX_10010","1",100440,-4.58,-0.35,-1.77
"NRS18_TX_10011","1",100520,3.31,1.85,-11.48
"NRS18_TX_10012","1",884560,-43.48,-6.18,5.98
"NRS18_TX_10013","1",898760,-0.38,2.37,-19.36
"NRS18_TX_10014","1",107080,18.43,3.55,-9.94
"NRS18_TX_10015","1",100640,-21.91,-3.43,5.54
"NRS18_TX_10016","1",884400,-19.56,-3.8,10.81
"NRS18_TX_10016","2",898940,-23.16,-4.6,13.67
"NRS18_TX_10017","1",114580,-31.56,-4.73,6.31
"NRS18_TX_10017","2",122380,-34.26,-5.19,7.23
"NRS18_TX_10018","1",107120,-19.71,-2.87,3.26
"NRS18_TX_10019","1",103980,-4.94,-0.19,-3.44
"NRS18_TX_10021","1",107100,-19.02,-2.84,3.69
"NRS18_TX_10022","1",107200,-23.37,-3.45,4.27
"NRS18_TX_10023","1",104960,-15.39,-2.2,2.21
"NRS18_TX_10024","1",114380,2.82,1.14,-6.29
"NRS18_TX_10025","1",898900,-23.71,-3.72,6.03
"NRS18_TX_10026","1",100460,1.51,0.64,-3.62
"NRS18_TX_10027","1",122620,-22.18,-3.61,6.7
"NRS18_TX_10029","1",895020,-35.71,-5.53,8.56
"NRS18_TX_10030","1",889340,-30.08,-3.96,1.61
"NRS18_TX_10033","1",122840,-6.93,-0.93,0.47
"NRS18_TX_10034","1",103220,-9.36,-1.58,3.31
"NRS18_TX_10035","1",100540,-11.62,-1.63,1.41
"NRS18_TX_10036","1",104940,-16.42,-3.37,10.56
"NRS18_TX_10038","1",898960,-10.96,-1.39,0.19
"NRS18_TX_10039","1",100340,-19.95,-3.19,5.53
"NRS18_TX_10040","1",100400,-20.95,-3.39,6.2
"NRS18_TX_10041","1",114360,-25.45,-4.31,9.02
"NRS18_TX_10042","1",107460,-25.85,-3.97,5.91
"NRS18_TX_10046","1",898980,-15.34,-2.93,8.11
"NRS18_TX_10048","1",104920,-8.83,-0.31,-6.34
"NRS18_TX_10050","1",100480,-23.08,-3.72,6.7
"NRS18_TX_10054","1",114620,-9.19,-2.11,7.65
"NRS18_TX_10055","1",884480,-8.78,-1.25,1.18
"NRS18_TX_10056","1",898880,8.58,2.65,-12.63
"NRS18_TX_10060","1",107140,-18.47,-2.72,3.26
"NRS18_TX_10062","1",884520,-5,1.23,-14.81
"NRS18_TX_10068","1",898820,-67.53,-8.31,-1.03
"NRS18_TX_10073","1",104880,-7.13,-0.25,-5.17
"NRS18_TX_10074","1",115520,-15.38,-1.63,-2.32
"NRS18_TX_10077","1",104980,-9.58,-0.42,-6.24
"NRS18_TX_10079","1",114520,-20.4,-3.45,7.23
"NRS18_TX_10080","1",107040,13.55,2.93,-9.89
"NRS18_TX_10081","1",884580,-7.58,-1.26,2.51
"NRS18_TX_10085","1",122680,-20.75,-3.09,3.98
"NRS18_TX_10085","2",122640,-18.43,-3.17,6.96
"NRS18_TX_10093","1",122600,-13.98,-2.41,5.29
"NRS18_TX_10093","2",122700,-14.89,-2.67,6.44
"NRS18_TX_10099","1",112980,-23.2,-4.44,12.29
"NRS18_TX_10116","1",114420,-33.07,-3.31,-6.59
