"SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE_OLD"
"FW08WY011",1,19.98,0.784877487
"FW08WY013",1,47.82,0.54547517
"FW08WY014",1,43.47,0.59551891
"FW08WY020",1,19.05,0.137985391
"FW08WY026",1,24.52,1.250234056
"FW08WY030",1,25.73,1.073906393
"FW08WY031",1,10.97,0.801117173
"FW08WY032",1,45.05,0.892741384
"FW08WY034",1,81.63,0.70841559
"FW08WY038",1,45.17,0.631109735
"FW08WY042",1,4.9,0.695362883
"FW08WY050",1,67.07,0.876074807
"FW08WY043",1,60.73,1.346125384
"FW08WY046",1,47.18,1.070778536
"FW08WY051",1,69.13,1.064537126
"FW08WY055",1,49.28,0.782502378
"FW08WY058",1,29.58,1.235022662
"FW08WY061",1,44,1.223130066
"FW08UT022",1,59.95,0.959247551
"FW08UT054",1,78.13,1.157614167
"FW08UT001",1,17.9,0.272633945
"FW08UT001",2,11.42,0.54526789
"FW08UT003",1,37.15,1.157649869
"FW08UT005",1,56.17,0.704815119
"FW08UT007",1,5.57,0.74467019
"FW08UT008",1,66.38,1.198220467
"FW08UT009",1,40,1.320774199
"FW08UT010",1,65.57,1.155073191
