SITE_ID,VISIT_NO,NH4,NH4_ALERT,ANC,ANC_ALERT,CA,CA_ALERT,CL,CL_ALERT,COLOR,COLOR_ALERT,COND,COND_ALERT,DOC,DOC_ALERT,MG,MG_ALERT,SODIUM,SODIUM_ALERT,K,K_ALERT,NO3,NO3_ALERT,NO3NO2,NO3NO2_ALERT,NO2,NO2_ALERT,NTL,NTL_ALERT,PHLAB,PHLAB_ALERT,PTL,PTL_ALERT,SIO2,SIO2_ALERT,SO4,SO4_ALERT,TSS,TSS_ALERT,TURB,TURB_ALERT
FW08CA035,1,0.019,R,910.28,NA,9.712,NA,2.28,NA,8,NA,105.97,NA,1.11,NA,4.193,NA,4.108,NA,0.897,NA,0.02642,NA,NA,NA,0,R,136,H,8.02,NA,24.3725,H,14.396,NA,3.12,NA,0,NA,3.4,NA
FW08CA040,1,0.017,RS,1585.76,S,13.8,S,5.38,S,15,S,184.7,S,3.49,S,7.721,S,11.07,S,1.987,S,0.05781,S,NA,NA,0,RS,594,HS,8.37,S,102.2213,HS,29.114,HS,6.01,S,1.4,S,3.72,S
FW08CA056,1,0.009,RS,1489.02,S,15.25,S,4.09,S,11,HS,169.99,S,1.9,S,7.358,S,7.324,S,1.263,S,0.00143,RS,NA,NA,0,RS,269,HS,8.32,S,41.8088,HS,20.39,HS,5.79,S,2.2,S,3.87,HS
FW08CA061,1,0.025,S,1560.04,S,17.34,S,19.69,HS,13,HS,261.37,S,2.18,S,7.604,S,17.76,S,3.464,S,1.92284,HS,NA,NA,0.01489,RS,2343,HS,8.12,HS,173.2,HS,20.498,HS,10.1,HS,9.2,S,4.36,HS
FW08CA063,1,0.003,R,1986.54,NA,35.76,NA,5.31,NA,10,NA,255.05,NA,0.62,NA,7.998,NA,5.97,NA,1.245,NA,7.8e-4,R,NA,NA,0,R,69,H,8.31,NA,3.5038,HR,8.806,NA,22.84,NA,0.9,NA,2.63,NA
FW08CA067,1,0.006,RS,401.98,S,4.779,S,2.1,S,8,S,53.11,S,1.15,S,1.668,S,2.417,S,0.674,S,0.00237,RS,NA,NA,0,RS,114,HS,7.68,S,11.4575,HS,10.378,S,1.94,S,0.4,S,3.26,S
FW08CA068,1,0.024,NA,1504.8,NA,11.75,NA,5.17,NA,20,NA,179.18,NA,4.67,NA,7.235,NA,12.56,NA,2.328,NA,0.44455,NA,NA,NA,0.01076,R,1183,H,8.44,NA,166.5375,H,38.156,H,5.89,NA,2,NA,3.82,NA
FW08OR001,1,0.055,NA,547.8,NA,5.191,NA,7.73,H,15,NA,88.69,NA,2.61,NA,2.007,NA,7.76,NA,1.205,NA,0.13368,H,NA,NA,0,R,422,H,7.25,NA,33.5975,H,18.263,H,1.65,H,2.4,NA,4.56,NA
FW08OR002,1,0.055,NA,3567.16,NA,30.15,NA,5.84,H,8,NA,371.18,NA,3.34,NA,12.14,NA,32.94,NA,2.562,NA,0.19943,H,NA,NA,8.8e-4,R,866,H,7.78,NA,293.6513,H,49.921,H,7.93,H,125.6,NA,34.8,NA
FW08OR004,1,0.01,R,4385.55,NA,40.2,NA,5.06,NA,6,NA,451.98,NA,1.58,NA,18.3,NA,32.13,NA,1.748,NA,1.06641,NA,NA,NA,0,R,1314,H,8.37,NA,53.9375,H,38.263,H,12.5,NA,0.9,NA,0.81,R
FW08OR005,1,0.008,R,1767.11,NA,18.1,NA,1.27,NA,12,NA,203.1,NA,1.79,NA,10.11,NA,10.18,NA,2.846,NA,0.07922,NA,NA,NA,0,R,211,H,8.14,NA,88.8413,H,43.2,H,12.83,NA,1.8,NA,1.81,R
FW08OR006,1,0.017,R,450.52,NA,5.678,NA,7.68,H,22,NA,74.69,NA,1.92,NA,1.893,NA,5.212,NA,1.023,NA,0.0258,H,NA,NA,0,R,199,H,7.45,NA,28.965,H,16.167,NA,0.54,H,3.4,NA,4.28,NA
FW08OR008,1,0.001,R,406.01,NA,4.053,NA,0.08,R,2,HR,42.08,NA,1.02,NA,1.337,NA,2.267,NA,0.839,NA,0.00337,R,NA,NA,0,R,44,H,7.35,H,12.7788,H,27.601,NA,0.4,R,0,NA,0.09,HR
FW08OR009,1,0.009,R,548.26,NA,5.863,NA,3.91,NA,6,NA,69.98,NA,0.41,H,1.832,NA,4.875,NA,0.246,NA,0.05805,NA,NA,NA,0,R,119,H,7.99,NA,14.8975,H,18.938,NA,1.34,NA,0.8,NA,0.296,R
FW08OR010,1,0.007,RS,329.76,S,3.992,S,0.14,RS,6,S,29.43,S,0.69,S,0.661,S,1.792,S,0.165,S,0.00144,RS,NA,NA,0,RS,124,HS,7.26,HS,27.7413,HS,13.542,HS,0.47,RS,15.8,S,4.38,HS
FW08OR015,1,0.075,NA,644.43,NA,6.08,NA,1.42,H,9,NA,71.71,NA,1.13,NA,2.347,NA,4.309,NA,1.231,NA,0.0642,H,NA,NA,0.01435,R,300,NA,7.89,NA,72.4588,NA,28.052,NA,1.03,H,3.9,NA,4.4,NA
FW08OR016,1,0.008,R,292.46,NA,3.286,NA,0.79,H,7,NA,30.97,NA,0.62,NA,0.776,NA,1.994,NA,0.303,NA,0.0066,HR,NA,NA,7.1e-4,R,95,H,7.64,NA,13.1913,H,11.316,H,0.96,H,0.5,NA,0.83,R
FW08OR016,2,0.005,R,276.25,NA,3.347,NA,0.79,NA,5,NA,33.69,NA,0.59,NA,0.82,NA,1.94,NA,0.257,NA,0.00282,R,NA,NA,0,R,48,H,7.46,NA,4.5038,H,10.628,NA,1.01,NA,1.8,NA,3.23,NA
FW08OR019,1,0.016,R,472.88,NA,4.541,NA,4.3,NA,3,R,63.86,NA,1.15,NA,1.718,NA,5.206,NA,0.592,NA,0.07527,NA,NA,NA,0,R,236,H,7.91,NA,11.555,H,14.872,H,1.39,NA,0.7,NA,1.115,R
FW08OR022,1,0.007,RS,555.34,S,5.209,S,1.45,S,5,S,61.13,S,0.57,S,1.662,S,4.205,S,1.046,S,0,RS,NA,NA,0,RS,77,S,8.33,HS,36.9706,S,26.276,S,1.17,S,0.8,S,0.75,HRS
FW08OR027,1,0.013,RS,416.33,S,4.471,S,1.04,S,12,HS,47.7,S,0.99,S,1.37,S,2.647,S,0.529,S,0.00945,RS,NA,NA,0,RS,91,HS,7.59,S,16.0206,HS,15.817,S,0.89,S,1.4,S,4.14,S
FW08OR035,1,0.016,R,365.76,NA,3.963,NA,4.34,NA,6,NA,57.39,NA,0.78,H,1.361,NA,4.698,NA,0.476,NA,0.19023,NA,NA,NA,0.0211,NA,289,H,7.74,NA,9.4638,H,53.83,H,2.19,NA,0.8,NA,0.85,R
FW08OR043,1,0.007,R,664.64,NA,7.518,NA,1.14,NA,5,NA,73.85,NA,0.65,NA,2.034,NA,3.806,NA,0.764,NA,0.10865,NA,NA,NA,6.5e-4,R,210,H,7.71,H,27.5025,H,16.105,NA,0.97,NA,5.1,NA,4.01,H
FW08OR044,1,0.005,R,310.65,NA,3.251,NA,0.67,NA,8,NA,30.35,NA,0.39,NA,0.809,NA,2.071,NA,0.346,NA,0.00521,R,NA,NA,0,R,103,NA,7.69,H,8.93,NA,15.661,NA,0.45,R,1.1,NA,3.19,NA
FW08OR047,1,0.006,R,166.59,H,1.571,NA,2.33,H,9,NA,26.68,H,1.21,NA,0.615,NA,2.424,NA,0.352,NA,0.05892,H,NA,NA,0,R,141,NA,7.73,NA,17.2244,NA,7.204,NA,0.86,H,4.2,NA,4.05,NA
FW08OR050,1,0.007,RS,804.16,S,10.88,S,4.99,HS,7,S,105.68,S,0.36,S,1.995,S,5.686,S,0.578,S,0.01308,HRS,NA,NA,0,RS,34,HS,7.79,S,17.695,HS,16.353,HS,3.27,HS,0,S,2.68,S
FW08OR045,1,0,RS,382.83,S,4.649,S,0.15,RS,7,S,44.28,S,1.22,S,0.984,S,2.173,S,1.232,S,0.00206,RS,NA,NA,0,RS,44,HS,7.64,S,8.3375,HS,17.366,HS,1.95,S,0.4,S,0.41,RS
FW08OR051,1,0.019,HR,442.73,NA,4.253,NA,1.24,NA,3,R,53.53,NA,0.72,H,1.557,NA,3.397,NA,0.695,NA,0.01432,R,NA,NA,0,R,90,H,7.74,NA,25.754,H,18.638,NA,1.67,NA,2.8,NA,3.32,NA
FW08OR052,1,0,R,148.32,NA,2.546,NA,0.09,R,11,NA,33.27,NA,0.58,NA,0.965,NA,1.594,NA,0.755,NA,0.00136,R,NA,NA,0,R,9,HR,7.23,NA,4.2788,H,12.945,H,6.77,NA,0,NA,0.41,R
FW08OR054,1,0.014,R,757.01,NA,7.2,NA,1.66,H,7,NA,85.32,NA,0.85,NA,3.517,NA,4.023,NA,1.022,NA,0.10849,H,NA,NA,0,R,295,NA,8,NA,57.2525,NA,24.219,NA,1.68,H,2.6,NA,3.8,NA
FW08OR058,1,0.005,R,452.21,NA,3.716,NA,1.17,NA,0,R,47.73,NA,0.31,NA,1.641,NA,3.974,NA,1.023,NA,5.8e-4,R,NA,NA,0,R,53,H,7.79,NA,28.9606,H,23.244,NA,0.69,NA,0.6,NA,0.16,R
FW08OR058,2,0.004,R,439.46,NA,3.909,NA,1.16,H,6,NA,50.43,NA,0.35,NA,1.726,NA,3.447,NA,0.871,NA,0.00174,HR,NA,NA,0,R,26,H,7.68,NA,30.8675,H,22.816,NA,0.7,H,0,NA,2.54,NA
FW08OR059,1,0.01,RS,588.88,S,5.599,S,2.6,S,13,HS,69.8,S,0.85,S,1.989,S,4.7,S,1.093,S,4.8e-4,RS,NA,NA,0,RS,97,HS,8.02,HS,22.5738,HS,20.647,HS,1.81,S,0.7,S,0.61,HRS
