"SITE_ID","VISIT_NO","SAMPLE_ID","dD..vsmow.","d18O..vsmow.","d.excess"
"FW08WA001","1",531501,-124.84,-16.51,7.21
"FW08WA001","2",531511,-124.74,-16.62,8.25
"FW08WA004","1",552461,-85,-11.86,9.88
"FW08WA005","1",525751,-85.83,-12.37,13.13
"FW08WA006","1",531521,-125.57,-17.01,10.52
"FW08WA007","1",521421,-114.81,-15.03,5.46
"FW08WA007","1",548201,-114.1,-15.53,10.17
"FW08WA009","1",524511,-102.75,-14.31,11.72
"FW08WA010","1",547361,-70.33,-9.59,6.39
"FW08WA015","2",529501,-121.53,-16.02,6.63
"FW08WA015","1",528391,-126.36,-16.79,7.98
"FW08WA016","1",550571,-126.35,-16.85,8.47
"FW08WA017","2",550791,-104.23,-14.2,9.35
"FW08WA017","1",529461,-106.07,-14.77,12.09
"FW08WA018","1",551391,-114.26,-15.51,9.8
"FW08WA020","1",531241,-106.73,-14.32,7.83
"FW08WA021","1",547241,-79.26,-11.19,10.23
"FW08WA022","1",551841,-95.33,-13.14,9.78
"FW08WA026","1",547651,-57.26,-8.12,7.67
"FW08WA028","1",525731,-125.02,-16.29,5.28
"FW08WA029","1",527341,-89.41,-12.52,10.77
"FW08WA030","1",550611,-83.18,-11.54,9.1
"FW08WA031","1",552451,-101.1,-13.79,9.19
"FW08WA032","1",531251,-101.64,-13.53,6.58
"FW08WA033","1",521531,-80.69,-11.55,11.73
"FW08WA035","1",524331,-132.36,-17.54,7.94
"FW08WA036","1",525351,-122.3,-15.83,4.37
"FW08WA037","1",527811,-64.91,-9.75,13.07
"FW08WA040","1",529751,-110.13,-14.82,8.41
"FW08WA041","1",550131,-107.88,-14.27,6.31
"FW08WA044","1",556041,-99.38,-13.48,8.46
"FW08WA046","1",531751,-108.07,-14.63,8.96
"FW08WA051","1",552061,-134,-17.44,5.49
"FW08WA058","1",547371,-55.29,-8.26,10.78
"FW08WA066","1",552511,-105.51,-14.58,11.11
"FW08WA078","1",523311,-50.13,-7.65,11.06
"FW08WA084","1",547231,-102.48,-13.34,4.28
"FW08WA109","1",543911,-80.29,-11.58,12.39
"FW08WA120","1",552501,-114.76,-15.68,10.65
"FW08WA122","1",531731,-56.79,-8.14,8.36
"FW08WA123","1",557071,-126.09,-16.88,8.96
"FW08WI001","1",552271,-68.17,-9.26,5.91
"FW08WI001","2",555611,-65.37,-9.24,8.58
"FW08WI001","2",555951,-64.93,-9.33,9.69
"FW08WI002","1",556551,-85.28,-12.29,13.07
"FW08WI003","2",556331,-49.9,-6.03,-1.65
"FW08WI003","2",556251,-49.98,-6.13,-0.91
"FW08WI003","1",547171,-52.82,-6.81,1.65
"FW08WI004","1",553841,-71.05,-9.78,7.21
"FW08WI005","1",548171,-59.62,-9.27,14.56
"FW08WI006","1",548151,-62.87,-9.38,12.14
"FW08WI007","1",540761,-55.49,-8.55,12.91
"FW08WI008","1",548161,-56.27,-8.67,13.06
"FW08WI009","1",554191,-70.28,-9.33,4.35
"FW08WI010","1",543401,-63.82,-8.98,7.98
"FW08WI011","1",552421,-52.78,-8.13,12.24
"FW08WI012","1",552101,-65.56,-9.32,9
"FW08WI013","1",551131,-64.72,-8.99,7.18
"FW08WI014","1",556351,-54.73,-6.96,0.93
"FW08WI016","1",553821,-64.33,-8.7,5.24
