UID,UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,YEAR,UNIQUE_ID,DSGN_CYCLE,SAMPLE_ID,H2O_dD,H2O_d18O,d-excess,LAT_DD83,LON_DD83,ELEVATION
2013203,1000729,4/7/2021,NRS18_CA_10055,8/8/2018,1,2018,NRS_CA-11204,2018-19,899920,-78.01,-10.9,9.22,38.63823103,-121.5636929,3.33
2012812,1000336,4/7/2021,NRS18_CA_10056,7/9/2018,1,2018,NRS_CA-11205,2018-19,100660,-92.94,-12.72,8.81,36.77903524,-120.233343,53.51
2013932,1001517,4/7/2021,NRS18_CA_10059,6/26/2019,1,2019,NRS_CA-10864,2018-19,117020,-33.58,-5.12,7.36,38.06906649,-122.5344472,7.135
2014029,1001616,4/7/2021,NRS18_CA_10065,7/9/2019,1,2019,NRS_CA-10830,2018-19,116640,-93.58,-12.17,3.77,41.84331069,-122.8997348,523.7
2012655,1000179,4/7/2021,NRS18_CA_10066,6/19/2018,1,2018,NRS_CA-11076,2018-19,896140,-77.97,-11.52,14.18,39.66106475,-120.8893134,1605.45
2012597,1000120,4/7/2021,NRS18_CA_10088,6/13/2018,1,2018,NRS_CA-11206,2018-19,883180,-77.8,-11.75,16.22,38.34235839,-120.2595173,1650.97
2013835,1001418,4/7/2021,NRS18_CA_10094,6/19/2019,1,2019,NRS_CA-11212,2018-19,117060,-76.86,-11.08,11.75,40.77203975,-123.3027922,387.05
2014319,1001907,4/7/2021,NRS18_CA_10108,8/6/2019,1,2019,NRS_CA-11226,2018-19,126460,-84.05,-12.39,15.03,40.13079561,-121.4652129,1617.21
2013712,1001294,4/7/2021,NRS18_CA_10247,6/5/2019,1,2019,NRS_CA-11236,2018-19,117640,-98.31,-12.12,-1.34,33.43362471,-114.7177604,70.8
2012657,1000181,4/7/2021,NRS18_CA_10322,6/20/2018,1,2018,NRS_CA-11311,2018-19,883740,-76.62,-10.66,8.67,38.26340292,-121.647551,0
2012848,1000373,4/7/2021,NRS18_CA_10324,7/10/2018,1,2018,NRS_CA-11313,2018-19,897620,-121.67,-16.53,10.59,37.49935193,-118.1412427,2998.11
2012766,1000290,4/7/2021,NRS18_CA_10343,6/27/2018,1,2018,NRS_CA-11332,2018-19,896120,-75.23,-10.55,9.15,40.30767586,-121.8581376,673.61
2012868,1000393,4/7/2021,NRS18_CA_10352,7/11/2018,1,2018,NRS_CA-11341,2018-19,896500,-116.33,-15.52,7.85,37.00309692,-118.2945214,1384.19
2013018,1000544,4/7/2021,NRS18_CA_10389,7/24/2018,1,2018,NRS_CA-11343,2018-19,895220,-103.16,-14.15,10.05,38.3213139,-119.6740704,2561.7
2014200,1001787,4/7/2021,NRS18_CA_10548,7/25/2019,1,2019,NRS_CA-11354,2018-19,126560,-103.46,-13.63,5.59,38.7772714,-119.7590081,1643.02
