SITE_ID,YEAR,VISIT_NO,UNIQUE_ID,ECOWSA9,RT_WQI,CL_pt,SO4_pt,PTL_pt,NTL_pt,TURB_pt,ENTERO_PT,DO_PT,PH_PT,NUMVARN,WQII
NRS18_AR_10002,2018,2,NRS_AR-10057,CPL,S,0,0,0,0,0,10,10,10,8,37.50
FW08AR012,2009,1,NRS_AR-10059,CPL,S,10,9.071579854,4.736137143,10,0,10,10,10,8,79.76
FW08AR012,2009,2,NRS_AR-10059,CPL,S,10,7.592759363,6.172857143,10,0,10,10,10,8,79.71
ARR9-0902,2013,1,NRS_AR-10059,CPL,S,10,3.538998709,10,10,10,10,10,,7,90.77
ARR9-0902,2013,2,NRS_AR-10059,CPL,S,10,6.600605252,10,10,10,10,10,,7,95.14
FW08AR013,2009,1,NRS_AR-10060,CPL,R,10,10,5.06728,1.268817204,0,0,0,10,8,45.42
FW08AR014,2009,1,NRS_AR-10061,CPL,T,9.832045865,2.609582437,0,0.838709677,0,10,8.5,10,8,52.23
ARR9-0903,2013,1,NRS_AR-10061,CPL,T,0.336379323,0,0,10,0,10,10,,7,43.34
NRS18_AR_10006,2018,1,NRS_AR-10061,CPL,T,7.752648647,0,0,6.817204301,0,10,10,10,8,55.71
FW08AR016,2009,1,NRS_AR-10063,SAP,R,10,10,10,10,8.85583524,10,10,10,8,98.57
ARR9-0904,2013,1,NRS_AR-10063,SAP,R,10,10,10,10,10,0,10,,7,85.71
NRS18_AR_10007,2018,1,NRS_AR-10063,SAP,S,10,10,10,10,10,10,10,10,8,100.00
FW08AR017,2009,1,NRS_AR-10064,CPL,S,10,0,10,10,10,,10,10,7,85.71
ARR9-0905,2013,1,NRS_AR-10064,CPL,S,10,0.62437796,10,10,10,10,10,,7,86.61
NRS18_AR_10008,2018,1,NRS_AR-10064,CPL,S,10,2.04942316,10,10,9.292682927,10,10,10,8,89.18
FW08AR019,2009,1,NRS_AR-10066,SAP,R,10,10,2.535714286,9.245283019,7.848970252,10,10,10,8,87.04
ARR9-0906,2013,1,NRS_AR-10066,SAP,R,10,10,10,8.339622642,10,0,10,,7,83.34
FW08AR020,2009,1,NRS_AR-10067,SAP,R,10,10,10,10,9.336384439,10,10,10,8,99.17
ARS9-0944,2013,1,NRS_AR-10067,SAP,S,10,10,10,10,6.041189931,10,10,,7,94.34
ARS9-0944,2013,2,NRS_AR-10067,SAP,R,10,10,10,10,10,0,10,,7,85.71
NRS18_AR_10001,2018,1,NRS_AR-10067,SAP,S,10,10,10,0,4.233409611,10,10,10,8,80.29
NRS18_AR_10001,2018,2,NRS_AR-10067,SAP,S,10,10,10,10,10,10,10,10,8,100.00
FW08AR022,2009,1,NRS_AR-10069,CPL,T,4.190845865,6.893680585,0,10,0,10,10,10,8,63.86
