PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,YEAR,DATE_COL,AGGR_ECO9_2015,SAMPLE_TYPE,BENT_SAMPLE_TYPE,BENT_MMI_COND,OE_COND,SAMPLED_BENT,MMI_BENT,OE_SCORE,COMP_PT,DIVS_PT,FEED_PT,HABT_PT,RICH_PT,TOLR_PT,BURRPTAX,CHIRPTAX,CLNGNTAX,CLNGPTAX,DOM5PIND,EPHENTAX,EPHEPTAX,EPT_NTAX,EPT_PIND,EPT_PTAX,HPRIME,INTLNTAX,NOINPIND,NTOLNTAX,NTOLPTAX,SCRPNTAX,SHRDNTAX,STOLPTAX,TOLRPTAX
9/2/2015,14515,FW08NM038,1,2009,13-May-09,XER,BENT,BELGB,Poor,O/E>0.9,YES,37.68,1.181892574,5.61,2.65,1.43,5.02,2.35,5.55,,,,40.91,79.67,,,5,,,,,17.67,,,1,,,18.18
9/2/2015,14516,FW08NM039,1,2009,19-May-09,SPL,BENT,BERWW,Fair,O/E<0.9,YES,22.45,0.884870078,0.97,3.74,1.43,1.71,1.33,4.29,30.77,,,,,,,3,7,,1.95,4,,,,2,,,
9/2/2015,14517,FW08NM042,1,2009,25-May-09,XER,BENT,BELGB,Fair,O/E<0.5,YES,49.08,0.369378771,10,3.22,7.14,3.27,2.35,3.47,,,,32.14,76.95,,,5,,,,,2,,,5,,,25
9/2/2015,14518,FW08NM043,1,2009,27-May-09,WMT,BENT,BERWW,Poor,O/E>0.9,YES,28.93,1.033494189,2.76,6.72,2.86,1.49,3.53,0,,,,33.33,54.26,,,12,,30.77,,,,,,3,,,28.21
9/2/2015,14519,FW08NM045,1,2009,6-Jun-09,WMT,BENT,BELGB,Poor,O/E>0.9,YES,31.53,1.018339552,5.22,0,1.43,4.42,2.35,5.5,,,,45.83,87.76,,,10,,41.67,,,,,,2,,,12.5
9/2/2015,14520,FW08NM047,1,2009,2-Jun-09,XER,BENT,BELGB,Poor,O/E<0.5,YES,6.77,0.376023748,0,0,0,0,0.59,3.47,,,,0,98.91,,,2,,,,,58.33,,,0,,,25
9/2/2015,14521,FW08NM048,1,2009,30-May-09,WMT,BENT,BERWW,Good,O/E>0.9,YES,55.13,1.213579433,6.73,1.97,7.14,8.05,5.29,3.9,,,,61.29,74.1,,,15,,48.39,,,,,,6,,,16.13
9/2/2015,14522,FW08NM105,1,2009,26-May-09,SPL,BENT,BELGB,Good,O/E<0.8,YES,51.93,0.726350012,10,0.66,0,9.46,5.33,5.71,6.67,,,,,,,9,87.71,,1.3,5,,,,1,,,
9/2/2015,14523,FW08RNM9006,1,2009,25-May-09,XER,BENT,BERWW,Good,O/E<0.9,YES,68.97,0.821435634,10,4.88,4.29,5.73,7.65,8.83,,,,44.44,69.08,,,14,,,,,1,,,3,,,7.41
9/2/2015,14524,FW08RNM9082,1,2009,16-May-09,SPL,BENT,BERWW,Good,O/E>0.9,YES,45.3,1.092460746,1.33,6.54,2.86,6.74,4,5.71,15.15,,,,,,,7,9.33,,2.54,5,,,,3,,,
9/2/2015,14525,FW08AL003,1,2009,13-Aug-09,CPL,BENT,BERWW,Poor,O/E>0.9,YES,34.25,0.921197765,9.31,0.65,0,3.2,1.25,6.14,,,,27.27,,,,3,,,1.73,,5.67,,,,1,,22.73
9/2/2015,14526,FW08AL015,1,2009,15-Aug-09,CPL,BENT,BELGB,Good,O/E>0.9,YES,76.57,1.171188998,8.53,9.82,7.5,3.25,10,6.84,,,,27.45,,,,18,,,3.28,,11.36,,,,7,,19.61
9/2/2015,14527,FW08AL021,1,2009,12-Aug-09,CPL,BENT,BELGB,Good,O/E>0.9,YES,69.98,1.223630348,4.89,8.99,7.5,4.21,10,6.4,,,,31.37,,,,17,,,3.14,,37.67,,,,7,,21.57
9/2/2015,14529,FW08AL030,1,2009,11-Aug-09,CPL,BENT,BERWW,Poor,O/E<0.8,YES,37.4,0.631651034,8.8,2.54,3.75,1.1,0.62,5.63,,,,18.75,,,,2,,,2.05,,9.38,,,,4,,25
9/2/2015,14530,FW08AL051,1,2009,16-Aug-09,CPL,BENT,BERWW,Fair,O/E>0.9,YES,52.37,1.118082506,9.54,2.72,2.5,4.13,4.38,8.15,,,,31.03,,,,8,,,2.08,,4,,,,3,,13.79
9/2/2015,14531,FW08RAL9038,1,2009,14-Aug-09,CPL,BENT,BERWW,Good,O/E>0.9,YES,68.8,1.120408574,8.66,8.93,3.75,9.15,5.62,5.17,,,,51.35,,,,10,,,3.13,,10.37,,,,4,,27.03
9/2/2015,14532,FW08RAL9059,1,2009,26-Jul-09,CPL,BENT,BERWW,Fair,O/E<0.8,YES,52.32,0.704982945,9.23,7.87,3.75,1.25,3.12,6.17,,,,19.35,,,,6,,,2.95,,6.29,,,,4,,22.58
9/2/2015,14533,FW08WY001,1,2009,27-Jun-09,XER,BENT,BERWW,Poor,O/E<0.9,YES,19.5,0.852397876,2.14,0,1.43,3.98,1.76,2.39,,,,35.71,93.31,,,4,,,,,29,,,1,,,28.57
