,O,E,OoverE,Onull,Enull,OoverE.null,BC,BC.null
148281,11,8.262674161,1.331288126,9,7.693617021,1.169800885,0.216162121,0.299005863
148380,8,11.58757844,0.690394463,4,7.693617021,0.519911504,0.468766599,0.540029112
148381,6,9.228494479,0.65016022,4,7.693617021,0.519911504,0.453621947,0.494905386
148382,6,9.709552793,0.617948131,5,7.693617021,0.649889381,0.454474038,0.434126718
148383,3,11.54571258,0.259836712,4,7.693617021,0.519911504,0.690389092,0.544395924
148430,9,10.82479717,0.831424355,6,7.693617021,0.779867257,0.372315912,0.403356122
148431,7,8.393843036,0.833944591,8,7.693617021,1.039823009,0.365986565,0.307483731
148432,7,9.123915436,0.767214476,6,7.693617021,0.779867257,0.370694223,0.362336855
148435,12,12.52536766,0.95805571,9,7.693617021,1.169800885,0.295264243,0.311751211
148436,8,8.056188629,0.993025408,7,7.693617021,0.909845133,0.329214883,0.361135245
148590,8,10.43441673,0.766693549,6,7.693617021,0.779867257,0.427232321,0.446861405
148700,9,8.640989444,1.04154739,7,7.693617021,0.909845133,0.325422306,0.356501593
148701,6,10.84047873,0.553481091,5,7.693617021,0.649889381,0.461346515,0.413342273
148704,6,8.453601786,0.70975664,8,7.693617021,1.039823009,0.38523371,0.302603037
148706,11,8.415942107,1.307043212,10,7.693617021,1.299778761,0.239675791,0.250601251
148707,5,11.84839462,0.421998099,5,7.693617021,0.649889381,0.518696494,0.422728797
148710,9,10.19604988,0.88269478,9,7.693617021,1.169800885,0.369421413,0.310731583
148811,14,11.26402702,1.242894746,9,7.693617021,1.169800885,0.264598551,0.287280143
148812,7,11.61032702,0.602911528,7,7.693617021,0.909845133,0.450413507,0.421951926
148930,9,11.59966183,0.775884688,6,7.693617021,0.779867257,0.350007436,0.415786203
148931,16,11.29327746,1.416772062,12,7.693617021,1.559734513,0.224131702,0.218668971
148950,9,9.076264248,0.991597397,8,7.693617021,1.039823009,0.312690819,0.302603037
148951,11,9.118227031,1.206374876,7,7.693617021,0.909845133,0.323241635,0.369823342
148952,6,10.23081548,0.586463514,5,7.693617021,0.649889381,0.505151602,0.515253101
148953,6,8.943415925,0.670884598,5,7.693617021,0.649889381,0.415794228,0.450888367
148956,7,8.338619543,0.839467488,6,7.693617021,0.779867257,0.437405183,0.472964574
148960,9,8.612440494,1.044999963,7,7.693617021,0.909845133,0.288146119,0.332754127
148961,10,9.909250506,1.009158058,9,7.693617021,1.169800885,0.328690407,0.311751211
148962,9,8.208037432,1.096486228,10,7.693617021,1.299778761,0.277277237,0.277537278
148963,6,8.552202307,0.701573675,4,7.693617021,0.519911504,0.429094708,0.50363901
148981,11,9.840927507,1.117780818,7,7.693617021,0.909845133,0.306884403,0.369823342
149000,11,10.57211986,1.040472501,11,7.693617021,1.429756637,0.295518288,0.233781015
149050,7,11.0550389,0.63319542,7,7.693617021,0.909845133,0.451430085,0.379669852
149140,9,10.24889457,0.878143485,7,7.693617021,0.909845133,0.390241581,0.382565885
149152,14,10.88870438,1.285736072,11,7.693617021,1.429756637,0.263678871,0.251991805
149153,8,8.290597076,0.964948595,7,7.693617021,0.909845133,0.365538039,0.368085723
149154,9,8.461693182,1.063616915,9,7.693617021,1.169800885,0.302409372,0.29084884
149155,6,9.459801174,0.634262802,5,7.693617021,0.649889381,0.480455957,0.458933959
149170,10,10.71521174,0.933252673,7,7.693617021,0.909845133,0.355684008,0.340863018
149210,9,11.37404397,0.791275295,7,7.693617021,0.909845133,0.340185599,0.364610484
149211,12,10.41416395,1.152276847,9,7.693617021,1.169800885,0.304892775,0.319908233
149242,8,10.26882608,0.779056918,7,7.693617021,0.909845133,0.400428152,0.33217492
149250,10,11.17463435,0.894883867,6,7.693617021,0.779867257,0.404170801,0.454940957
149251,12,11.17115609,1.074194999,8,7.693617021,1.039823009,0.331940797,0.332429501
149258,9,8.729175867,1.031025166,8,7.693617021,1.039823009,0.32098688,0.370932755
149280,9,8.889460154,1.012434934,8,7.693617021,1.039823009,0.32291123,0.309110629
149330,13,10.50824708,1.237123556,10,7.693617021,1.299778761,0.248048419,0.262626263
149350,16,14.41898212,1.109648369,9,7.693617021,1.169800885,0.214628422,0.270456283
149351,7,7.544336967,0.92784827,6,7.693617021,0.779867257,0.304030212,0.383467993
149370,5,11.20541791,0.44621272,4,7.693617021,0.519911504,0.556873669,0.556768559
149371,15,12.13488601,1.236105555,9,7.693617021,1.169800885,0.243106074,0.268926842
149400,9,11.20541791,0.803182895,8,7.693617021,1.039823009,0.36558583,0.337852495
149420,9,9.154212925,0.983153885,8,7.693617021,1.039823009,0.304159335,0.299349241
149430,5,10.57580674,0.472777172,4,7.693617021,0.519911504,0.569719429,0.584425036
149461,10,9.898380941,1.01026623,9,7.693617021,1.169800885,0.297534217,0.280142748
149497,12,10.21377815,1.174883556,9,7.693617021,1.169800885,0.293422849,0.309202141
149684,7,11.53282262,0.606963294,6,7.693617021,0.779867257,0.460029751,0.40149161
149690,1,7.28204638,0.137324036,1,7.693617021,0.129977876,0.837292098,0.838472834
149752,4,10.49968601,0.380963773,5,7.693617021,0.649889381,0.568658604,0.424069728
149800,7,9.895241083,0.707410759,8,7.693617021,1.039823009,0.383454236,0.29175705
149852,9,10.93914967,0.822733053,8,7.693617021,1.039823009,0.376674795,0.325921909
149854,5,7.726362255,0.647135073,8,7.693617021,1.039823009,0.429725751,0.305314534
149860,14,12.12454168,1.154682822,12,7.693617021,1.559734513,0.246721787,0.218668971
149870,5,9.7484855,0.512900183,4,7.693617021,0.519911504,0.484458601,0.505094614
149871,12,8.704849642,1.378541904,12,7.693617021,1.559734513,0.21538201,0.218668971
149872,8,10.41840322,0.767871989,7,7.693617021,0.909845133,0.417536948,0.376194613
149892,5,5.442767053,0.918650376,7,7.693617021,0.909845133,0.371829791,0.382565885
149893,5,7.877098322,0.634751503,5,7.693617021,0.649889381,0.438809458,0.456252095
149894,8,11.71197101,0.6830618,5,7.693617021,0.649889381,0.460875013,0.498491452
149912,8,7.912569462,1.011049576,6,7.693617021,0.779867257,0.318448076,0.40149161
149950,6,9.894920392,0.60637173,5,7.693617021,0.649889381,0.446408254,0.454911163
150030,9,10.85373384,0.82920773,7,7.693617021,0.909845133,0.385156913,0.347813496
150111,6,10.50761095,0.57101467,5,7.693617021,0.649889381,0.508372443,0.457593027
150120,11,10.05941304,1.093503166,6,7.693617021,0.779867257,0.339485173,0.41392169
150121,8,7.592480955,1.053674029,8,7.693617021,1.039823009,0.269032056,0.317245119
150130,6,6.06639094,0.989055941,9,7.693617021,1.169800885,0.290606661,0.282182004
150190,1,6.087310231,0.164276168,1,7.693617021,0.129977876,0.782476228,0.838472834
150250,15,10.8343898,1.384480371,11,7.693617021,1.429756637,0.239634814,0.237423173
150454,7,9.808723085,0.713650486,6,7.693617021,0.779867257,0.418821732,0.388440025
150455,8,6.618805366,1.20867733,9,7.693617021,1.169800885,0.268009048,0.270456283
150470,12,10.64309583,1.127491492,8,7.693617021,1.039823009,0.296588302,0.334056399
150890,8,8.478847673,0.94352444,9,7.693617021,1.169800885,0.317220975,0.282182004
150893,2,9.269403228,0.21576362,2,7.693617021,0.259955752,0.698424225,0.661106234
