"SITE_ID","VISIT_NO","SAMPLE_ID","Chem_Lab_ID","H2O_dD","H2O_d18O","d.excess"
"MTRF-0004","1",748920,"1410965",-128.56,-16.58,4.09
"MTRF-0005","1",748560,"1410906",-127.93,-16.52,4.21
"MTRF-0007","1",746320,"1410648",-128.12,-16.22,1.66
"MTRF-0008","1",748760,"1410607",-134.1,-17.45,5.48
"MTRF-0102","1",748480,"1410708",-132.49,-17.74,9.44
"MTRF-0103","1",748620,"1410855",-128.72,-16.98,7.08
"MTRF-0105","1",748540,"1410712",-125.8,-16.71,7.84
"MTRF-0106","1",748520,"1410643",-132.45,-17.62,8.52
"MTRF-0107","1",748860,"1410637",-139.37,-18.49,8.58
"MTRF-0108","1",732840,"1410964",-124.75,-15.98,3.09
"MTRF-0109","1",748780,"1410574",-134,-17.53,6.21
"MTRF-0110","1",755320,"1410794",-134.78,-17.89,8.35
"MTRF-0115","1",748600,"1410797",-131.81,-17.03,4.44
"MTRF-0116","1",748640,"1410793",-137.43,-18.35,9.34
"MTRF-0117","1",748740,"1410642",-131.35,-16.8,3.08
"MTRM-1001","1",751660,"1410429",-126.29,-15.89,0.86
"MTRM-1002","1",768440,"1411089",-131.94,-16.79,2.37
"MTRM-1005","1",749300,"1410329",-126.77,-16.4,4.41
"MTRM-1006","1",751580,"1410618",-133.89,-17.63,7.14
"MTRM-1010","1",749400,"1410623",-133.78,-17.43,5.69
"MTRO-1065","1",759060,"1410762",-110.03,-12.78,-7.82
"MTRO-1068","1",759280,"1410814",-127.03,-16.41,4.23
"MTRO-1069","1",749380,"1410332",-118.89,-14.16,-5.63
"MTRO-1071","1",754860,"1411115",-127.99,-16.32,2.59
"MTRO-1073","1",759020,"1410761",-131.81,-16.78,2.4
"MTRO-1074","1",768420,"1411017",-138.47,-18.25,7.54
"MTRO-1075","1",764540,"1411160",-126.55,-16.23,3.31
"MTS9-0922","1",753420,"1410700",-110.62,-15.15,10.55
"MTS9-0922","2",754880,"1410804",-110.4,-14.95,9.2
"MTS9-0926","1",764480,"1410806",-127.95,-16.72,5.8
"MTS9-0927","1",753220,"1410294",-120.43,-15.03,-0.2
"MTS9-0930","1",753260,"1410416",-110.84,-13.9,0.38
"MTS9-0933","1",753240,"1410441",-114.96,-14.57,1.6
"MTS9-0935","1",754480,"1410933",-142.52,-18.86,8.35
"MTS9-0936","1",768380,"1411090",-138.77,-18.48,9.11
"MTS9-0938","1",723920,"1410694",-133.83,-17.12,3.11
"MTS9-0939","1",764560,"1411124",-134.14,-16.65,-0.96
"MTS9-0940","1",753700,"1410619",-131.29,-16.44,0.22
"MTS9-0943","1",754380,"1410714",-125.04,-15.68,0.42
"MTS9-0945","1",730720,"1410901",-138.67,-18.53,9.54
"MTS9-0948","1",718040,"1410309",-132.75,-17.18,4.7
"MTSS-1289","1",753460,"1410290",-136.16,-18.35,10.64
"MTSS-1290","1",753320,"1410738",-137.56,-18.42,9.84
"MTSS-1291","1",753340,"1410348",-130.83,-16.98,5.04
"MTSS-1294","1",753300,"1410502",-137.53,-17.92,5.8
"MTSS-1297","1",759240,"1410999",-121.51,-16.26,8.61
"MTSS-1302","1",759220,"1410986",-117.43,-16.08,11.18
"MTSS-1305","1",753400,"1410654",-136.07,-18.25,9.97
"MTSS-1319","1",754820,"1411007",-141.84,-18.49,6.1
"MTSS-1321","1",759180,"1411009",-133.81,-17.88,9.25
"MTSS-1326","1",761020,"1410832",-131.22,-16.57,1.32
"MTSS-1328","1",754500,"1411122",-133.48,-16.95,2.13
"MTSS-1330","1",753280,"1411046",-98.28,-10.82,-11.74
"MTSS-1331","1",753720,"1411086",-132.89,-17.53,7.33
"NCRO-1015","1",737040,"1410139",-20.39,-3.87,10.55
"NDLS-1063","1",765940,"1410799",-67.29,-7.07,-10.71
"NDLS-1064","1",754940,"1410522",-100.95,-12.86,1.93
"NDLS-1065","1",753080,"1410298",-107.76,-14,4.26
"NDLS-1067","1",750460,"1410224",-88.8,-11.08,-0.15
"NDLS-1068","1",754920,"1410412",-103.49,-13.01,0.61
"NDLS-1070","1",753060,"1410410",-87.62,-10.31,-5.16
"NDLS-1072","1",750480,"1410242",-80.15,-9.39,-5.05
"NDLS-1073","1",753040,"1410433",-86.4,-9.87,-7.42
"NDLS-1077","1",759380,"1410646",-88.65,-10.68,-3.2
"NDLS-1079","1",754960,"1410484",-83.39,-10.03,-3.14
"NDR9-0901","1",761120,"1410758",-50.38,-5.75,-4.36
"NDR9-0902","1",759340,"1410699",-100.83,-12.17,-3.5
"NDR9-0904","1",761160,"1410725",-83.18,-10.61,1.72
"NDR9-0906","1",737400,"1410351",-63.63,-8.77,6.49
"NDR9-0908","1",737340,"1410228",-134.86,-17.61,5.99
"NDR9-0909","1",752120,"1410250",-66.38,-8.95,5.2
"NDR9-0912","1",768200,"1411116",-82.61,-10.29,-0.26
"NDR9-0918","1",737300,"1410153",-80.76,-10.48,3.1
"NDR9-0918","2",737420,"1410296",-84.51,-10.84,2.2
"NDR9-0921","1",737320,"1410137",-118.24,-15.09,2.44
"NDR9-0921","2",737460,"1410292",-119.55,-15.27,2.58
"NDRF-0001","1",737480,"1410202",-109.66,-13.96,1.98
"NDRF-0002","1",737380,"1410269",-85.54,-10.57,-0.97
"NDRF-0008","1",766980,"1410864",-94.75,-11.97,0.98
"NDRM-1002","1",737440,"1410272",-78.42,-9.48,-2.61
"NDRM-1005","1",764600,"1411099",-75.9,-8.79,-5.6
"NDRO-1021","1",764580,"1410871",-83.71,-9.24,-9.76
"NDRO-1026","1",759360,"1411164",-99.38,-12.02,-3.21
"NDRO-1029","1",768180,"1411145",-90.41,-11.41,0.89
"NDS9-0942","1",761140,"1410709",-51.2,-5.69,-5.69
"NDSS-1112","1",739900,"1410140",-91.21,-11.37,-0.26
"NDSS-1115","1",739920,"1410129",-93.8,-11.88,1.24
"NDSS-1131","1",739940,"1410107",-106.54,-14.1,6.25
"NDSS-1133","1",750500,"1410245",-84.48,-9.98,-4.68
"NELS-1079","1",752960,"1410481",-57.37,-8.27,8.82
"NELS-1082","1",752980,"1410511",-63.8,-9.19,9.75
"NELS-1083","1",765580,"1410929",-59.27,-6.78,-5.04
"NER9-0908","1",746640,"1410176",-53.33,-7.94,10.2
"NER9-0909","1",756760,"1410749",-63.68,-8.17,1.65
"NER9-0909","2",765560,"1410927",-68.44,-8.07,-3.88
"NER9-0911","1",754520,"1410440",-69.54,-9.65,7.62
"NER9-0912","1",754540,"1410443",-56.29,-6.78,-2.02
"NER9-0913","1",746560,"1410149",-49,-6.66,4.31
"NER9-0914","1",758560,"1410579",-94.25,-11.86,0.65
"NER9-0914","2",756740,"1410682",-95.85,-11.81,-1.39
"NER9-0915","1",765640,"1410829",-104.71,-12.31,-6.26
"NER9-0916","1",765620,"1410841",-72.54,-8.36,-5.67
"NERF-0001","1",742120,"1410054",-116.93,-15.28,5.31
"NERF-0002","1",705540,"1410061",-75.21,-10.44,8.31
"NERF-0003","1",705540,"1410063",-115.36,-15.74,10.58
"NERF-0004","1",742080,"1410052",-113.47,-14.86,5.39
"NERM-1001","1",756680,"1410603",-82.61,-10.57,1.97
"NERM-1004","1",756700,"1410679",-98.64,-12.14,-1.51
"NERM-1005","1",758520,"1410608",-90.71,-11.37,0.24
"NERM-1007","1",722400,"1410711",-80.92,-10.56,3.6
"NERM-1008","1",756720,"1410655",-96.56,-12.07,0.01
"NERO-1037","1",758540,"1410570",-90.69,-11.36,0.16
"NERO-1042","1",753020,"1410453",-70.03,-10.02,10.1
"NERO-1043","1",746540,"1410334",-38.29,-5.11,2.63
"NERO-1045","1",752940,"1410728",-70.49,-8.48,-2.64
"NERO-1046","1",765600,"1410844",-40.21,-6.15,8.98
"NES9-0922","1",746620,"1410303",-75,-10.38,8.03
"NES9-0931","1",746660,"1410151",-45.53,-6.48,6.33
"NES9-0935","1",765900,"1410764",-42.11,-5.57,2.44
"NES9-0936","1",752920,"1410741",-60.81,-7.68,0.66
"NESS-1128","1",746580,"1410409",-73.1,-9.93,6.31
"NESS-1134","1",722260,"1410374",-51.97,-7.8,10.41
"NESS-1138","1",765920,"1410798",-107.82,-13.43,-0.38
"NESS-1140","1",765540,"1410943",-65.82,-9.25,8.18
"NESS-1143","1",765520,"1411106",-34.74,-5.05,5.67
"NHR9-0901","1",743820,"1410366",-73.58,-10.98,14.29
"NHR9-0901","2",706740,"1410629",-72.17,-10.6,12.62
"NHRF-0001","1",743020,"1410247",-53.99,-7.97,9.77
"NHRF-0002","1",743100,"1410280",-60.71,-9.54,15.61
"NHRF-0004","1",729680,"1410768",-64.82,-9.79,13.5
"NHRM-1001","1",706760,"1410535",-74.85,-11.06,13.62
"NHRM-1002","1",743860,"1410384",-71.22,-10.48,12.63
"NHRM-1004","1",743840,"1410317",-56.94,-8.85,13.85
"NHRM-1005","1",706700,"1410458",-75.12,-10.86,11.74
"NHS9-0911","1",743040,"1410198",-59.5,-9.14,13.6
"NHS9-0911","2",729660,"1410497",-56.07,-8.59,12.61
"NHS9-0913","1",743080,"1410165",-73.6,-10.8,12.77
"NJRM-1002","1",751040,"1410839",-54.1,-8.13,10.96
"NJRM-1003","1",751060,"1410580",-50.48,-7.99,13.45
"NJSS-1086","1",768160,"1411072",-32.84,-3.8,-2.41
"NJSS-1088","1",768140,"1411123",-40.99,-6.4,10.23
"NMLS-1044","1",738060,"1410088",-90.88,-12,5.13
"NMLS-1045","1",738740,"1410027",-68.49,-8.9,2.73
"NMLS-1047","1",705540,"1410064",-87.82,-12.4,11.42
"NMR9-0901","1",738720,"1410043",-37.85,-2.02,-21.69
"NMR9-0902","1",738320,"1410092",-83.5,-10.76,2.62
"NMR9-0902","2",737520,"1410175",-84.83,-11.2,4.8
"NMR9-0903","1",738360,"1410033",-60.51,-8.69,9
"NMR9-0904","1",738020,"1410101",-69.22,-9.48,6.61
"NMR9-0905","1",738700,"1410086",-84.02,-11.02,4.12
"NMR9-0905","2",737800,"1410216",-83.17,-10.84,3.59
"NMR9-0906","1",738540,"1410013",-57.63,-7.56,2.86
"NMRF-0001","1",705540,"1410074",-37.12,-3.58,-8.52
"NMRF-0002","1",705540,"1410076",-52.26,-6.3,-1.82
"NMRF-0009","1",745180,"1410056",-20.48,1.68,-33.91
"NMRM-1001","1",705540,"1410070",-82.2,-10.38,0.84
"NMRM-1002","1",737880,"1410020",-69.75,-9.63,7.3
"NMRM-1005","1",738000,"1410094",-103.6,-14.45,11.98
"NMRM-1007","1",737640,"1410194",-63.62,-8.59,5.09
"NMRO-1025","1",748160,"1410205",-51.13,-7.21,6.54
"NMRO-1028","1",738760,"1410051",-59.6,-7.5,0.4
"NMRO-1030","1",738040,"1410085",-64.69,-8.86,6.18
"NMS9-0920","1",738520,"1410026",-86.6,-12.32,11.97
"NMS9-0920","2",737940,"1410095",-87.61,-12.43,11.84
"NMS9-0924","1",737680,"1410180",-100.74,-14.13,12.27
"NMS9-0925","1",705540,"1410066",-95.14,-12.66,6.18
"NMS9-0926","1",738280,"1410018",-54.27,-6.53,-2
"NMS9-0926","2",738300,"1410097",-51.77,-6.32,-1.22
"NMSS-1076","1",737820,"1410215",-105.07,-14.62,11.91
"NMSS-1081","1",738080,"1410009",-77.43,-10.96,10.27
